[11:49:10.164] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.175] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.185] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.195] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.205] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.215] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.225] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.235] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.246] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.256] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.266] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.276] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.286] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.296] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.306] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.317] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.327] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.337] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.347] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.357] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.367] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.377] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.387] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.397] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.408] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.418] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.428] Odometry x=0.000000, y=-0.000000, theta=-0.000000
[11:49:10.438] Odometry x=0.000000, y=-0.000000, theta=-0.000331
[11:49:10.448] Odometry x=0.000000, y=-0.000000, theta=-0.000551
[11:49:10.458] Odometry x=0.000000, y=-0.000000, theta=-0.000908
[11:49:10.468] Odometry x=0.000000, y=-0.000000, theta=-0.001286
[11:49:10.478] Odometry x=0.000000, y=-0.000000, theta=-0.001601
[11:49:10.488] Odometry x=0.000000, y=-0.000000, theta=-0.001930
[11:49:10.499] Odometry x=0.000000, y=-0.000000, theta=-0.002252
[11:49:10.509] Odometry x=0.000000, y=-0.000000, theta=-0.002556
[11:49:10.519] Odometry x=0.000000, y=-0.000000, theta=-0.002761
